-1.29	6.44	44.16
-1.29	6.44	44.44
-1.29	6.26	44.07
-1.29	6.16	44.25
-1.20	6.44	44.16
-1.20	6.35	44.25
-1.20	6.44	44.07
-1.20	6.44	44.16
-1.29	6.26	44.25
-1.29	6.44	44.25
-1.29	6.26	44.07
-1.20	6.26	43.98
-1.38	6.35	43.98
-1.29	6.35	43.88
-1.38	6.53	43.88
-1.47	6.35	43.79
-1.56	6.53	43.88
-1.66	6.16	43.88
-1.56	6.26	43.88
-1.66	6.26	43.79
-1.75	6.16	43.70
-1.84	6.07	43.61
-1.93	6.16	43.70
-1.84	6.16	43.70
-1.93	5.98	43.61
-1.75	4.97	43.61
-1.47	4.14	43.61
-1.66	5.15	43.79
-1.66	4.97	43.79
-1.56	4.69	43.70
-1.38	4.42	43.79
-1.20	2.67	43.88
-1.38	1.84	43.42
-1.66	2.02	43.61
-1.93	2.48	43.52
-2.30	3.50	43.42
-2.85	4.42	43.42
-3.86	6.35	43.33
-5.06	8.74	43.24
-5.89	10.67	42.96
-6.90	12.51	42.60
-8.19	14.72	42.14
-9.20	14.72	41.49
-9.20	16.74	41.49
-9.66	17.48	41.31
-9.75	17.76	41.12
-10.03	18.49	40.94
-9.57	18.58	41.12
-8.46	18.86	41.40
-5.34	17.57	42.32
-2.48	19.23	42.60
-2.02	17.85	42.87
-2.85	15.82	43.06
-4.60	12.60	42.96
-4.32	9.94	43.15
-3.40	9.66	43.33
-4.32	9.66	43.15
-4.32	9.38	43.15
-4.78	8.65	43.15
-5.15	8.19	43.06
-5.43	7.64	42.96
-5.24	4.14	42.96
-6.07	1.20	42.41
-6.81	-1.10	41.95
-7.08	-2.12	41.68
-7.45	-2.85	41.31
-7.91	-3.40	41.03
-7.08	-3.59	41.03
-6.81	-3.68	41.12
-7.08	-3.96	40.76
-7.45	-4.14	40.57
-8.28	-4.51	40.30
-8.74	-5.15	39.93
-9.57	-5.24	39.74
-11.13	-4.51	39.28
-12.14	-3.59	39.10
-13.52	-1.66	39.01
-15.18	-1.93	38.36
-16.10	-2.94	37.72
-16.10	-3.77	37.63
-17.02	-4.42	37.17
-17.11	-5.70	36.62
-17.20	-7.08	36.34
-17.48	-7.73	35.88
-17.76	-8.83	35.51
-18.22	-9.48	35.24
-18.49	-9.75	35.14
-18.40	-10.49	34.96
-18.40	-11.41	34.41
-18.95	-11.87	34.22
-19.23	-12.70	33.49
-19.23	-15.55	32.38
-18.86	-18.03	31.19
-18.49	-17.85	31.56
-18.22	-17.76	31.74
-18.77	-17.85	31.65
-19.96	-17.57	31.19
-20.42	-17.85	30.45
-20.61	-18.86	29.99
-20.24	-19.96	29.62
-20.15	-20.70	29.07
-19.78	-21.71	28.61
-19.78	-22.17	28.24
-19.96	-23.00	27.51
-20.52	-23.74	26.68
-20.88	-24.93	25.48
-21.34	-25.48	24.66
-21.53	-25.39	24.56
-22.08	-25.02	24.47
-23.09	-24.29	24.29
-24.10	-23.74	23.83
-24.66	-23.55	23.37
-24.38	-24.01	23.09
-24.56	-24.10	22.82
-25.21	-23.74	22.36
-25.30	-23.74	22.26
-25.02	-24.20	22.17
-24.75	-24.29	22.36
-24.29	-24.47	22.72
-23.28	-24.47	23.55
-23.09	-24.47	23.64
-22.91	-24.75	23.55
-23.09	-24.38	23.46
